Rank,Release,Gross
779,Yomeddine,11308.00
780,In Like Flynn,11255.00
781,Made Me Do It,11151.00
782,Ferrante Fever,11137.00
783,I Do Not Care If We Go Down in History as Barbarians,11014.00
784,Suburban Birds,10997.00
785,16 Bars,10985.00
786,If the Dancer Dances,10912.00
787,Duet for Cannibals,10902.00
,2019 re-release,
788,Shooting the Mafia,10793.00
789,Angels Are Made Of Light,10697.00
790,Daughter of Mine,10628.00
791,The Eyes of Orson Welles,10253.00
792,Round of Your Life,10228.00
793,Around India with a Movie Camera,10101.00
794,Olivia,9934.00
795,Streetwise,9904.00
796,Tyrel,9832.00
797,Fritz Lang's Indian Epic,9818.00
,2019 re-release,
798,The Spanish Prisoner,9589.00
,2019 Re-release,
799,Studio 54,9355.00
800,When Lambs Become Lions,9337.00
801,Cracked Up,9197.00
802,Frantz Fanon: Black Skin White Mask,9025.00
803,Colossal Youth,8331.00
804,The Dead Center,8320.00
805,The Etruscan Smile,8213.00
,2019 release,
806,Grass,8084.00
807,Wings of Desire,7947.00
,2018 Re-release,
808,This Magnificent Cake!,7888.00
809,Ghost Fleet,7850.00
810,The Plagiarists,7768.00
811,Gregory's Girl,7710.00
812,I'll Take Your Dead,7692.00
813,King of Thieves,7518.00
814,Life and Nothing More,7488.00
815,Border,7477.00
816,Beloved Beast,7052.00
817,Rosie,6839.00
818,Genesis,6784.00
819,Going Attractions: The Definitive Story of the Movie Palace,6763.00
820,Dying to Survive,6752.00
,2019 Re-release,
821,Hollywould,6598.00
822,"One Nation, One King",6576.00
823,"Monrovia, Indiana",6457.00
824,Of Fathers and Sons,6308.00
825,Under the Eiffel Tower,6291.00
826,Patrick the Pug,6290.00
827,To Be of Service,6173.00
828,The Golden Glove,6160.00
829,Relaxer,6133.00
830,The Hottest August,6129.00
831,Kedarnath,5751.00
832,The Meanest Man in Texas,5750.00
833,Love Goes Public,5700.00
834,S�rie noire,5633.00
835,The Miracle of the Little Prince,5553.00
836,Halloween,5505.00
837,Spiral Farm,5475.00
838,Anna and the Apocalypse,5329.00
839,Chokehold,5200.00
840,Body at Brighton Rock,5123.00
841,Intuitions,5111.00
842,Cold Blood,5083.00
843,Chulas Fronteras,5021.00
844,The Garden,5006.00
845,Malek,4898.00
846,Un traductor,4879.00
847,Crepitus,4846.00
848,Ballet Blanc,4832.00
849,Kaili Blues,4687.00
850,What You Gonna Do When the World's on Fire?,4672.00
851,Slaughterhouse Rulez,4665.00
852,Sicilian Ghost Story,4639.00
853,At War,4605.00
854,I'm Leaving Now,4488.00
855,SGT. Will Gardner,4405.00
856,Tito and the Birds,4332.00
857,The Fate of Lee Khan,4295.00
858,State Like Sleep,4282.00
859,The Gliksmans,4080.00
860,La Flor,4032.00
861,Mother of a Day,3919.00
862,Crown Vic,3868.00
863,Wallflower,3801.00
864,The Wandering Soap Opera,3624.00
865,Rottentail,3383.00
866,Another Day of Life,3190.00
867,Bauhaus Spirit: 100 Years of Bauhaus,3148.00
868,A Cool Fish,3134.00
869,Chasing Portraits,3076.00
870,Filmworker,3016.00
871,100 Acres of Hell,2916.00
872,The Kindness of Strangers,2705.00
873,Back to the Fatherland,2697.00
874,L'h�ritage de la chouette,2602.00
875,"No Date, No Signature",2567.00
876,Joan the Maid 1: The Battles,2562.00
877,Chef Flynn,2507.00
878,TINY: The Life of Erin Blackwell,2465.00
879,I Lost Albert,2354.00
,2019 Re-release,
880,Tea With the Dames,2190.00
881,Iceman,2138.00
882,Detour,2128.00
883,Jihadists,2104.00
884,Divide and Conquer,1977.00
885,A German Youth,1834.00
886,A Fish in the Bathtub,1826.00
,2019 re-release,
887,Division 19,1699.00
888,Little Q,1652.00
889,Game Day,1624.00
890,For Those Who Don't Read Me,1585.00
891,American Playhouse: The Killing Floor,1583.00
892,Indivisible,1581.00
893,Serendipity,1575.00
894,Owaranai hito: Miyazaki Hayao,1449.00
895,The Hours and Times,1273.00
896,Chinese Portrait,1158.00
897,Narcissister Organ Player,1018.00
898,The Untold Story,790.00
899,Senso,737.00
900,Swimming with Men,630.00
901,Sgt. Stubby: An American Hero,612.00
902,I Am Not A Witch,550.00
903,A Breath Away,371.00
904,In Safe Hands,348.00
905,Henchmen,297.00
906,1945,236.00
907,Tall Tales from the Magical Garden of Antoon Krings,220.00
,2018 Re-release,
908,Over the Limit,117.00
909,Postcards from London,99.00
