Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
110,Arrow Electronics,19300.00,28916.80,-204.10,16400.80,4182.90
111,ViacomCBS,26280.00,27812.00,3308.00,49519.00,8798.20
112,Dollar General,143000.00,27754.00,1712.60,22825.10,38045.70
113,U.S. Bancorp,69651.00,27325.00,6914.00,495426.00,52407.50
114,Starbucks,346000.00,26508.60,3599.20,19219.60,77178.60
115,Bristol-Myers Squibb,30000.00,26145.00,3439.00,129944.00,126109.70
116,US Foods Holding,28000.00,25939.00,385.00,11288.00,3898.40
117,Mondelez International,80000.00,25868.00,3870.00,64549.00,71761.80
118,Paccar,27000.00,25599.70,2387.90,28361.10,21174.90
119,Thermo Fisher Scientific,75000.00,25542.00,3696.00,58381.00,113107.70
120,Macy's,123000.00,25331.00,564.00,21172.00,1520.40
121,Jabil,200000.00,25282.30,287.10,12970.50,3738.40
122,Kraft Heinz,37000.00,24977.00,1935.00,101450.00,30226.30
123,Duke Energy,28793.00,24658.00,3748.00,158838.00,59368.20
124,Tesla,48016.00,24578.00,-862.00,34309.00,96473.40
125,PBF Energy,3442.00,24508.20,319.40,9132.40,848.10
126,Qualcomm,37000.00,24273.00,4386.00,32957.00,77326.80
127,NGL Energy Partners,1300.00,24087.80,360.00,5902.50,333.70
128,CBRE Group,100000.00,23894.10,1282.40,16197.20,12625.00
129,Baker Hughes,68000.00,23838.00,128.00,53369.00,10827.30
130,Synnex,240900.00,23757.30,500.70,11698.00,3718.90
131,Dollar Tree,125000.00,23610.80,827.00,19574.60,17398.50
132,Cummins,61615.00,23571.00,2260.00,19737.00,20043.90
133,United Natural Foods,19000.00,23481.10,-285.00,7181.00,492.20
134,Micron Technology,37000.00,23406.00,6313.00,48887.00,46778.50
135,Amgen,23400.00,23362.00,7842.00,59707.00,119571.50
136,Penske Automotive Group,26980.00,23179.40,435.80,13942.70,2264.90
137,Visa,19500.00,22977.00,12080.00,72574.00,316199.10
138,Broadcom,19000.00,22597.00,2724.00,67493.00,94790.50
139,Nucor,26800.00,22588.90,1271.10,18344.70,10846.80
140,Gilead Sciences,11800.00,22449.00,5386.00,61627.00,94124.00
141,Southwest Airlines,60767.00,22428.00,2300.00,25895.00,18420.90
142,Halliburton,55000.00,22408.00,-1131.00,25377.00,6027.40
143,CenturyLink,42500.00,22401.00,-5269.00,64742.00,10307.10
144,International Paper,51000.00,22376.00,1225.00,33471.00,12206.80
145,Eli Lilly,33625.00,22319.50,8318.40,39286.10,132760.40
146,Aflac,11729.00,22307.00,3304.00,152768.00,24738.80
147,Lennar,10106.00,22259.60,1849.10,29359.50,11590.80
148,Occidental Petroleum,14400.00,21971.00,-667.00,109330.00,10366.70
149,Union Pacific,37483.00,21708.00,5919.00,61673.00,97354.50
150,Rite Aid,42645.00,21674.40,-422.20,7591.40,822.30
151,PNC Financial Services Group,50968.00,21624.00,5369.00,410295.00,41037.70
152,DuPont,35000.00,21512.00,498.00,69396.00,25213.10
153,Southern,27943.00,21419.00,4739.00,118700.00,57075.90
154,AutoNation,25000.00,21335.70,450.00,10543.30,2510.70
155,DXC Technology,130000.00,21184.00,1257.00,29574.00,3311.10
156,McDonald's,205000.00,21076.50,6025.40,47510.80,123259.60
157,Marriott International,174000.00,20972.00,1273.00,25051.00,24254.50
158,ManpowerGroup,28000.00,20863.50,465.70,9223.80,3109.40
