Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
402,W.R. Berkley,7493.00,7902.20,681.90,26643.40,9569.10
403,Motorola Solutions,17000.00,7887.00,868.00,10642.00,22802.90
404,Thor Industries,21750.00,7864.80,133.30,5660.40,2328.30
405,Regeneron Pharmaceuticals,8100.00,7863.40,2115.80,14805.20,53721.60
406,Spirit AeroSystems Holdings,18200.00,7863.10,530.10,7606.00,2506.50
407,J.M. Smucker,7400.00,7838.00,514.40,16711.30,12658.20
408,PPL,12280.00,7769.00,1746.00,45680.00,18949.60
409,Insight Enterprises,11261.00,7731.20,159.40,4178.20,1485.70
410,Quest Diagnostics,47000.00,7726.00,858.00,12843.00,10716.40
411,KeyCorp,17045.00,7694.00,1717.00,144988.00,10057.80
412,Veritiv,8000.00,7659.40,-29.50,2511.10,126.90
413,DCP Midstream,2250.00,7625.00,17.00,14127.00,847.90
414,American Tower,5454.00,7580.30,1887.80,42801.60,96444.00
415,Graybar Electric,9000.00,7523.90,144.50,2517.70,-
416,WEC Energy Group,7509.00,7523.10,1134.00,34951.80,27799.20
417,NVR,5700.00,7428.40,878.50,3809.80,9475.00
418,Ulta Beauty,31000.00,7398.10,705.90,4863.90,9893.60
419,Devon Energy,1800.00,7372.00,-355.00,13717.00,2645.80
420,Blackstone Group,2905.00,7338.30,2049.70,32585.50,30696.40
421,Dean Foods,14500.00,7328.70,-499.90,2228.60,9.70
422,Fortive,25000.00,7326.10,738.90,17439.00,18566.80
423,UGI,12800.00,7320.40,256.20,13346.60,5562.00
424,Burlington Stores,47000.00,7286.40,465.10,5593.90,10441.30
425,Builders FirstSource,15800.00,7280.40,221.80,3249.50,1420.30
426,Toll Brothers,5100.00,7224.00,590.00,10828.10,2439.60
427,Old Republic International,9000.00,7213.70,1056.40,21076.30,4634.90
428,Asbury Automotive Group,8500.00,7210.30,184.40,2911.30,1064.80
429,Arthur J. Gallagher,33247.00,7195.00,668.80,19634.80,15454.90
430,MasTec,21000.00,7183.20,392.30,4997.00,2506.60
431,Owens Corning,19000.00,7160.00,405.00,10006.00,4200.90
432,Magellan Health,10100.00,7159.40,55.90,3092.20,1188.20
433,Dover,24000.00,7136.40,677.90,8669.50,12094.40
434,Beacon Roofing Supply,8147.00,7105.20,-10.60,6392.80,1138.00
435,Avery Dennison,30000.00,7070.10,303.60,5488.80,8485.40
436,Hanesbrands,63000.00,6966.90,600.70,7354.00,2816.50
437,Packaging Corp. of America,15500.00,6964.30,696.40,7235.80,8235.80
438,M&T Bank,17386.00,6941.30,1929.10,119872.80,13440.80
439,NCR,36000.00,6915.00,564.00,8987.00,2287.00
440,Northern Trust,19800.00,6895.10,1492.20,136828.40,15791.30
441,Cintas,45000.00,6892.30,885.00,7436.70,18023.60
442,Polaris,14000.00,6863.40,324.00,4430.50,2959.00
443,CMS Energy,8459.00,6845.00,680.00,26837.00,16697.20
444,Seaboard,13100.00,6840.00,283.00,6285.00,3273.80
445,Intuit,9400.00,6784.00,1557.00,6283.00,59912.60
446,Regions Financial,19564.00,6755.00,1582.00,126240.00,8587.80
447,FM Global,5591.00,6743.10,2479.30,25053.80,-
448,Advanced Micro Devices,11400.00,6731.00,341.00,6028.00,53250.40
449,Ovintiv,2571.00,6726.00,234.00,21487.00,701.50
450,Booz Allen Hamilton Holding,26100.00,6704.00,418.50,3831.80,9624.30
451,S&P Global,22500.00,6699.00,2123.00,11348.00,59042.20
452,Rockwell Automation,23000.00,6694.80,695.80,6113.00,17533.30
453,O-I Glass,27500.00,6691.00,-400.00,9610.00,1108.50
454,Wynn Resorts,30200.00,6611.10,123.00,13871.30,6471.40
455,Securian Financial Group,6400.00,6600.60,434.80,63138.30,-
456,Alliance Data Systems,8500.00,6580.90,278.00,26494.80,1602.70
457,Weyerhaeuser,9400.00,6554.00,-76.00,16406.00,12636.50
457,Brighthouse Financial,1330.00,6554.00,-740.00,227259.00,2540.20
459,Intercontinental Exchange,5989.00,6547.00,1933.00,94493.00,44342.90
460,American Axle & Manufacturing,20000.00,6530.90,-484.50,6644.60,408.10
461,Hess,1775.00,6510.00,-408.00,21782.00,10163.60
462,ABM Industries,140000.00,6498.60,127.40,3692.60,1623.10
463,Activision Blizzard,9200.00,6489.00,1503.00,19845.00,45753.30
464,GameStop,30000.00,6466.00,-470.90,2819.70,225.60
465,Apache,3163.00,6411.00,-3553.00,18107.00,1577.20
466,Science Applications International,24311.00,6379.00,226.00,4711.00,4316.90
467,AK Steel Holding,9300.00,6359.40,11.20,4590.60,-
468,Dillard's,30400.00,6343.20,111.10,3430.30,863.80
469,Ralph Lauren,18650.00,6313.00,430.90,5942.80,4928.30
470,Celanese,7714.00,6297.00,852.00,9476.00,8775.00
471,R.R. Donnelley & Sons,36400.00,6276.20,-93.20,3330.10,68.00
472,Zoetis,10600.00,6260.00,1500.00,11545.00,55895.00
473,Ascena Retail Group,33000.00,6242.80,-661.40,2699.80,13.90
474,Clorox,8800.00,6214.00,820.00,5116.00,21673.50
475,Ingredion,11000.00,6209.00,413.00,6040.00,5049.60
476,First American Financial,18412.00,6202.10,707.40,11519.20,4790.60
477,Graphic Packaging Holding,18000.00,6160.10,206.80,7289.90,3542.00
478,NetApp,10500.00,6146.00,1169.00,8741.00,9220.90
478,HD Supply Holdings,11500.00,6146.00,452.00,4715.00,4605.30
480,TravelCenters of America,18594.00,6117.40,33.30,3230.90,81.20
481,Olin,6500.00,6110.00,-11.30,9187.80,1841.80
482,Robert Half International,16000.00,6074.40,454.40,2311.40,4345.80
483,EnLink Midstream,1355.00,6052.90,-1119.30,9335.80,537.30
484,Avantor,12000.00,6040.30,37.80,9773.30,7155.60
485,Tapestry,17400.00,6027.10,643.40,6877.30,3574.60
486,TD Ameritrade Holding,9226.00,6016.00,2208.00,43786.00,18738.80
487,Analog Devices,16400.00,5991.10,1363.00,21392.60,33010.90
488,Ameren,9323.00,5910.00,828.00,28933.00,17969.90
489,Williams-Sonoma,19300.00,5898.00,356.10,4054.00,3282.40
490,Realogy Holdings,10150.00,5870.00,-188.00,7543.00,346.90
491,Commercial Metals,11524.00,5829.00,198.10,3758.80,1880.00
492,Rush Enterprises,7244.00,5809.80,141.60,3407.30,1145.60
493,Franklin Resources,9597.00,5774.50,1195.70,14532.20,8293.20
494,Fortune Brands Home & Security,24700.00,5764.60,431.90,6291.30,6042.30
495,Levi Strauss,15800.00,5763.10,394.60,4232.40,4961.20
496,Crown Castle International,5100.00,5763.00,860.00,38457.00,60178.60
497,Simon Property Group,3750.00,5755.20,2101.60,31231.60,16834.80
498,Cerner,27400.00,5692.60,529.50,6894.60,19164.40
499,Post Holdings,10100.00,5681.10,124.70,11951.60,5732.00
500,Huntington Bancshares,15664.00,5655.00,1411.00,109002.00,8398.60
